"ds","y"
1989-09-01,1263.8
1989-10-01,1116.9
1989-11-01,1047.6
1989-12-01,1011.9
1990-01-01,1161.3
1990-02-01,1073.4
1990-03-01,1295.2
1990-04-01,1226.3
1990-05-01,1332.1
1990-06-01,1306.1
1990-07-01,1244.4
1990-08-01,1196.9
1990-09-01,1144.8
1990-10-01,1169
1990-11-01,1000.5
1990-12-01,987.2
1991-01-01,839.3
1991-02-01,927.5
1991-03-01,1103.1
1991-04-01,1059.6
1991-05-01,1174
1991-06-01,1175.3
1991-07-01,1185.2
1991-08-01,1063
1991-09-01,1062.2
1991-10-01,1047.6
1991-11-01,932.1
1991-12-01,961.5
1992-01-01,867.8
1992-02-01,988.5
1992-03-01,1128.4
1992-04-01,1144.9
1992-05-01,1169.7
1992-06-01,1297
1992-07-01,1158.2
1992-08-01,1065.2
1992-09-01,1095.4
1992-10-01,1132.2
1992-11-01,988.6
1992-12-01,1070.7
1993-01-01,915.3
1993-02-01,976.1
1993-03-01,1228.9
1993-04-01,1273.5
1993-05-01,1342.2
1993-06-01,1383.1
1993-07-01,1266.9
1993-08-01,1158.8
1993-09-01,1164.6
1993-10-01,1182.5
1993-11-01,1140.9
1993-12-01,1152.7
1994-01-01,1045.5
1994-02-01,1170.9
1994-03-01,1472.2
1994-04-01,1337.9
1994-05-01,1382.1
1994-06-01,1479.6
1994-07-01,1219.5
1994-08-01,1329.3
1994-09-01,1252.1
1994-10-01,1291.8
1994-11-01,1197.9
1994-12-01,1218.9
1995-01-01,1031.5
1995-02-01,1128.7
1995-03-01,1403.3
1995-04-01,1216
1995-05-01,1427.5
1995-06-01,1477.2
1995-07-01,1255.3
1995-08-01,1365.2
1995-09-01,1214.4
1995-10-01,1226
1995-11-01,1169.1
1995-12-01,1202.6
1996-01-01,1050.6
1996-02-01,1237.9
1996-03-01,1404.4
1996-04-01,1359.3
1996-05-01,1522.9
1996-06-01,1404.2
1996-07-01,1317.3
1996-08-01,1333.4
1996-09-01,1231.4
1996-10-01,1296.6
1996-11-01,1146.4
1996-12-01,1151.8
1997-01-01,1114.6
1997-02-01,1177.4
1997-03-01,1425.9
1997-04-01,1310.3
1997-05-01,1435.8
1997-06-01,1355
1997-07-01,1376.6
1997-08-01,1348.2
1997-09-01,1238.5
1997-10-01,1282
1997-11-01,1146.1
1997-12-01,1287.7
1998-01-01,1044.1
1998-02-01,1173
1998-03-01,1405.5
1998-04-01,1390.9
1998-05-01,1543.9
1998-06-01,1606.6
1998-07-01,1264.9
1998-08-01,1265.1
1998-09-01,1314.4
1998-10-01,1407.5
1998-11-01,1176.4
1998-12-01,1375
1999-01-01,1123.7
1999-02-01,1325.7
1999-03-01,1580.2
1999-04-01,1451.7
1999-05-01,1632.6
1999-06-01,1651.4
1999-07-01,1529
1999-08-01,1523.6
1999-09-01,1442.5
1999-10-01,1396.8
1999-11-01,1317.2
1999-12-01,1440.6
2000-01-01,1239.3
2000-02-01,1539.3
2000-03-01,1713
2000-04-01,1538.9
2000-05-01,1664.9
2000-06-01,1662.7
2000-07-01,1468.6
2000-08-01,1578.8
2000-09-01,1506.3
2000-10-01,1367.7
2000-11-01,1260.9
2000-12-01,1271.2
2001-01-01,1196.3
2001-02-01,1381.5
2001-03-01,1627.8
2001-04-01,1377
2001-05-01,1635.2
2001-06-01,1652.2
2001-07-01,1374.6
2001-08-01,1478.2
2001-09-01,1312.5
2001-10-01,1753.2
2001-11-01,1347.9
2001-12-01,1336.1
2002-01-01,1129.999
2002-02-01,1328.755
2002-03-01,1541.215
2002-04-01,1471.801
2002-05-01,1538.496
2002-06-01,1563.938
2002-07-01,1551.996
2002-08-01,1734.956
2002-09-01,1250.986
2002-10-01,1331.09
2002-11-01,1227.557
2002-12-01,1467.708
2003-01-01,1108.279
2003-02-01,1237.619
2003-03-01,1474.819
2003-04-01,1436.733
2003-05-01,1601.145
2003-06-01,1502.328
2003-07-01,1538.781
2003-08-01,1656.167
2003-09-01,1329.499
2003-10-01,1333.497
2003-11-01,1285.36
2003-12-01,1463.264
2004-01-01,1149.668
2004-02-01,1303.718
2004-03-01,1540.321
2004-04-01,1455.643
2004-05-01,1660.854
2004-06-01,1480.758
2004-07-01,1589.173
2004-08-01,1463.409
2004-09-01,1470.081
2004-10-01,1370.093
2004-11-01,1231.197
2004-12-01,1583.603
2005-01-01,1095.851
2005-02-01,1286.074
2005-03-01,1615.983
2005-04-01,1542.051
2005-05-01,1537.321
2005-06-01,1720.006
2005-07-01,1845.713
2005-08-01,1524.158
2005-09-01,1366.93
2005-10-01,1184.16
2005-11-01,1200.786
2005-12-01,1525.713
2006-01-01,1176.162
2006-02-01,1298.13
2006-03-01,1576.647
2006-04-01,1489.804
2006-05-01,1533.712
2006-06-01,1545.268
2006-07-01,1531.114
2006-08-01,1530.014
2006-09-01,1394.215
2006-10-01,1260.626
2006-11-01,1236.584
2006-12-01,1476.413
2007-01-01,1124.216
2007-02-01,1285.136
2007-03-01,1574.877
2007-04-01,1365.965
2007-05-01,1590.262
2007-06-01,1481.21
2007-07-01,1331.024
2007-08-01,1500.386
2007-09-01,1335.814
2007-10-01,1256.533
2007-11-01,1200.511
2007-12-01,1414.147
2008-01-01,1063.408
2008-02-01,1196.431
2008-03-01,1378.605
2008-04-01,1272.999
2008-05-01,1420.485
2008-06-01,1212.54
2008-07-01,1156.003
2008-08-01,1269.113
2008-09-01,984.592
2008-10-01,859.026
2008-11-01,763.936
2008-12-01,916.12
2009-01-01,670.466
2009-02-01,701.635
2009-03-01,872.848
2009-04-01,832.588
2009-05-01,938.41
2009-06-01,874.874
2009-07-01,1011.769
2009-08-01,1274.678
2009-09-01,759.633
2009-10-01,853.942
2009-11-01,761.865
2009-12-01,1049.27
2010-01-01,712.469
2010-02-01,793.362
2010-03-01,1083.953
2010-04-01,997.334
2010-05-01,1117.57
2010-06-01,1000.455
2010-07-01,1065.748
2010-08-01,1011.564
2010-09-01,973.954
2010-10-01,965.135
2010-11-01,888.085
2010-12-01,1162.897
2011-01-01,836.366
2011-02-01,1007.082
2011-03-01,1276.843
2011-04-01,1173.52
2011-05-01,1081.272
2011-06-01,1071.229
2011-07-01,1086.064
2011-08-01,1094.479
2011-09-01,1076.037
2011-10-01,1048.258
2011-11-01,1028.774
2011-12-01,1268.462
2012-01-01,938.17
2012-02-01,1175.82
2012-03-01,1434.004
2012-04-01,1204.471
2012-05-01,1369.493
2012-06-01,1310.158
2012-07-01,1171.809
2012-08-01,1305.342
2012-09-01,1206.182
2012-10-01,1119.148
2012-11-01,1169.803
2012-12-01,1375.084
2013-01-01,1065.798
2013-02-01,1217.858
2013-03-01,1479.427
2013-04-01,1313.768
2013-05-01,1473.275
2013-06-01,1425.802
2013-07-01,1335.833
2013-08-01,1527.483
2013-09-01,1152.814
2013-10-01,1235.532
2013-11-01,1271.446
2013-12-01,1383.676
2014-01-01,1043.019
2014-02-01,1221.37
2014-03-01,1562.748
2014-04-01,1408.232
2014-05-01,1644.367
2014-06-01,1451.814
2014-07-01,1473.962
2014-08-01,1607.315
2014-09-01,1272.036
2014-10-01,1312.329
2014-11-01,1324.117
2014-12-01,1538.534
2015-01-01,1177.91
2015-02-01,1285.147
2015-03-01,1579.627
2015-04-01,1479.335
2015-05-01,1668.452
2015-06-01,1518.66
2015-07-01,1546.818
2015-08-01,1598.265
2015-09-01,1474.925
2015-10-01,1486.42
2015-11-01,1358.777
2015-12-01,1671.288
2016-01-01,1188.775
2016-02-01,1374.272
2016-03-01,1614.069
2016-04-01,1524.1
2016-05-01,1552.659
2016-06-01,1548.86
2016-07-01,1546.818
2016-08-01,1539.79
2016-09-01,1462.065
2016-10-01,1397.057
2016-11-01,1399.375
2016-12-01,1717.933
2017-01-01,1164.323
2017-02-01,1352.076
2017-03-01,1582.674
2017-04-01,1449.717
2017-05-01,1543.862
2017-06-01,1502.804
2017-07-01,1441.011
2017-08-01,1512.07
2017-09-01,1553.133
2017-10-01,1385.649
2017-11-01,1424.527
2017-12-01,1639.555
2018-01-01,1181.715
2018-02-01,1328.14
2018-03-01,1687.609
2018-04-01,1391.226
2018-05-01,1626.484
2018-06-01,1586.664
2018-07-01,1403.118
2018-08-01,1527.416
2018-09-01,1474.997
2018-10-01,1405.908
2018-11-01,1422.219
2018-12-01,1665.906
2019-01-01,1171.503
2019-02-01,1288.278
2019-03-01,1642.75
2019-04-01,1372.659
2019-05-01,1628.074
2019-06-01,1554.748
2019-07-01,1443.947
2019-08-01,1685.342
2019-09-01,1315.632
2019-10-01,1380.18
2019-11-01,1446.483
2019-12-01,1565.023
